modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.16831000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.16831000 TP=1.18831000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=26 SL=1.18813000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=26 SL=1.18813000 TP=1.16813000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=27 SL=1.18804000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=27 SL=1.18804000 TP=1.16804000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=28 SL=1.18841000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=28 SL=1.18841000 TP=1.16841000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=29 SL=1.18822000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=29 SL=1.18822000 TP=1.16822000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=30 SL=1.18832000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=30 SL=1.18832000 TP=1.16832000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=31 SL=1.18804000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=31 SL=1.18804000 TP=1.16804000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=32 SL=1.18835000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=32 SL=1.18835000 TP=1.16835000
